PropertyID,CaseMasterID,PropertyType,EstimatedValue
138,398,Jewellery,209200
139,864,Documents,273220
140,689,Laptop,454007
141,997,Laptop,382738
142,983,Vehicles,63152
143,339,Mobile,80953
144,945,Laptop,438558
145,510,Mobile,392198
146,998,Documents,329017
147,906,Cash,447134
148,438,Vehicles,498993
149,175,Cash,151689
150,460,Vehicles,324176
151,8,Vehicles,485916
152,423,Vehicles,357030
153,984,Mobile,219723
154,357,Vehicles,356021
155,416,Documents,259220
156,92,Vehicles,184791
157,310,Mobile,162291
158,224,Jewellery,292412
159,500,Vehicles,313965
160,374,Jewellery,40543
161,731,Vehicles,90205
162,240,Mobile,178146
163,198,Cash,213048
164,236,Jewellery,207967
165,298,Laptop,161606
166,734,Vehicles,101826
167,978,Jewellery,446500
168,312,Jewellery,101171
169,223,Jewellery,294207
170,436,Cash,272778
171,517,Documents,483692
172,289,Cash,131285
173,322,Mobile,61270
174,940,Jewellery,376657
175,977,Cash,266524
176,726,Laptop,438301
177,238,Documents,44107
178,416,Documents,397147
179,239,Vehicles,359252
180,791,Cash,318928
181,45,Laptop,68583
182,42,Documents,355294
183,802,Laptop,287489
184,82,Mobile,45591
185,312,Cash,476385
186,846,Cash,423892
187,335,Vehicles,73436
188,188,Laptop,30897
189,531,Jewellery,297293
190,954,Vehicles,482235
191,970,Laptop,229224
192,25,Laptop,364768
193,637,Cash,336469
194,94,Mobile,107621
195,543,Laptop,48277
196,180,Laptop,148396
197,806,Documents,131794
198,158,Documents,94576
199,873,Jewellery,210205
200,229,Jewellery,217909
201,670,Laptop,230842
202,340,Laptop,449216
203,386,Cash,96336
204,766,Documents,97135
205,874,Jewellery,86123
206,530,Vehicles,83850
207,412,Jewellery,309301
208,177,Laptop,236907
209,58,Mobile,184713
210,178,Cash,312331
211,224,Laptop,349558
212,878,Documents,6633
213,587,Mobile,490178
214,780,Mobile,185430
215,406,Cash,98598
216,392,Laptop,282322
217,587,Jewellery,223879
218,502,Cash,264585
219,300,Cash,17809
220,671,Cash,118791
221,954,Vehicles,330037
222,740,Cash,301647
223,851,Vehicles,73710
224,314,Vehicles,19164
225,885,Cash,491187
226,278,Jewellery,128651
227,132,Documents,95687
228,384,Mobile,147227
229,325,Jewellery,246850
230,142,Mobile,460380
231,162,Jewellery,96652
232,135,Vehicles,6167
233,44,Cash,224520
234,994,Vehicles,219042
235,35,Mobile,376874
236,15,Jewellery,131963
237,616,Jewellery,31534
238,626,Vehicles,349936
239,814,Mobile,177611
240,116,Jewellery,85788
241,899,Documents,140758
242,499,Laptop,476892
243,917,Mobile,266093
244,834,Documents,468767
245,468,Vehicles,349791
246,649,Mobile,60899
247,369,Documents,232734
248,478,Laptop,452118
249,229,Mobile,332467
250,734,Jewellery,68562
251,637,Jewellery,336269
252,606,Laptop,480059
253,120,Jewellery,286295
254,495,Laptop,99644
255,806,Mobile,62890
256,886,Documents,365482
257,455,Cash,387659
258,348,Laptop,347157
259,583,Laptop,380137
260,559,Documents,134154
261,838,Jewellery,419542
262,366,Documents,123289
263,179,Mobile,445759
264,837,Documents,438656
265,186,Documents,444974
266,397,Documents,264420
267,359,Documents,67554
268,134,Documents,483474
269,902,Mobile,53268
270,568,Cash,162789
271,588,Jewellery,341059
272,714,Documents,330685
273,204,Laptop,340906
274,675,Documents,236001
275,195,Jewellery,385426
276,720,Vehicles,66692
277,443,Jewellery,132012
278,508,Laptop,338808
279,153,Jewellery,135276
280,422,Vehicles,317053
281,341,Documents,179603
282,609,Documents,318578
283,231,Mobile,404057
284,291,Vehicles,134693
285,470,Documents,486423
286,435,Documents,441045
287,685,Laptop,25046
288,942,Cash,190554
289,765,Laptop,93745
290,157,Vehicles,156528
291,583,Vehicles,227347
292,727,Vehicles,298785
293,744,Documents,425361
294,390,Laptop,54852
295,328,Jewellery,210513
296,978,Laptop,380025
297,352,Documents,494792
298,384,Vehicles,450223
299,26,Vehicles,312811
300,178,Cash,273506
301,817,Vehicles,76137
302,989,Mobile,499616
303,313,Laptop,409815
304,212,Laptop,139092
305,572,Documents,473222
306,24,Vehicles,439121
307,504,Laptop,365256
308,846,Documents,3633
309,274,Vehicles,306170
310,804,Documents,126571
311,235,Documents,336353
312,323,Laptop,419933
313,230,Laptop,167386
314,901,Jewellery,195697
315,418,Documents,246734
316,476,Mobile,451774
317,293,Laptop,91888
318,170,Jewellery,152673
319,610,Mobile,377011
320,771,Jewellery,272091
321,455,Cash,490677
322,189,Vehicles,160703
323,500,Vehicles,161230
324,92,Vehicles,284086
325,638,Vehicles,229344
326,64,Laptop,9963
327,530,Mobile,161738
328,950,Jewellery,157180
329,814,Vehicles,112344
330,718,Mobile,29302
331,182,Mobile,293821
332,234,Laptop,496059
333,459,Vehicles,391073
334,892,Jewellery,64049
335,983,Vehicles,163073
336,855,Cash,141516
337,184,Documents,338192
338,870,Vehicles,407913
339,66,Vehicles,462954
340,153,Documents,280591
341,872,Jewellery,484335
342,819,Laptop,26641
343,451,Jewellery,360465
344,358,Laptop,279677
345,783,Jewellery,83505
346,66,Documents,125057
347,846,Jewellery,350107
348,342,Cash,448329
349,261,Documents,418957
350,916,Vehicles,109791
351,746,Vehicles,144889
352,229,Cash,194807
353,7,Mobile,43740
354,459,Jewellery,467391
355,254,Laptop,354132
356,18,Laptop,201991
357,483,Laptop,174757
358,133,Vehicles,329271
359,522,Documents,149897
360,767,Vehicles,102265
361,338,Mobile,286412
362,522,Vehicles,183999
363,100,Documents,313961
364,796,Vehicles,440006
365,273,Cash,82767
366,186,Jewellery,239884
367,765,Jewellery,164026
368,173,Laptop,425894
369,699,Documents,58230
370,217,Vehicles,479113
371,162,Cash,480342
372,968,Documents,262033
373,723,Vehicles,252311
374,955,Vehicles,368683
375,247,Documents,414831
376,165,Mobile,93871
377,344,Vehicles,212350
378,334,Laptop,487647
379,300,Documents,399352
380,631,Mobile,120746
381,956,Mobile,196188
382,268,Jewellery,473645
383,160,Laptop,276306
384,609,Jewellery,422711
385,709,Mobile,331615
386,720,Documents,398956
387,575,Cash,279811
388,659,Mobile,134431
389,467,Cash,305855
390,370,Mobile,26003
391,147,Mobile,235619
392,927,Cash,25799
393,330,Laptop,185110
394,953,Jewellery,48446
395,131,Jewellery,414009
396,363,Laptop,75050
397,559,Laptop,90785
398,196,Jewellery,113057
399,461,Mobile,172089
400,700,Laptop,187921
401,298,Laptop,277088
402,913,Jewellery,160555
403,743,Mobile,75928
404,105,Jewellery,358117
405,353,Laptop,139752
406,782,Vehicles,183473
407,533,Vehicles,461915
408,418,Vehicles,346094
409,914,Jewellery,437132
410,554,Jewellery,445873
411,604,Cash,91832
412,752,Jewellery,440547
413,183,Cash,353664
414,647,Vehicles,378050
415,588,Cash,104678
416,917,Cash,186110
417,251,Laptop,177295
418,884,Laptop,164188
419,285,Vehicles,256019
420,492,Cash,445481
421,563,Mobile,334782
422,918,Vehicles,166927
423,113,Cash,316976
424,792,Cash,339879
425,220,Vehicles,465756
426,731,Documents,390062
427,269,Documents,213423
428,952,Laptop,153531
429,206,Vehicles,102787
430,163,Vehicles,443173
431,402,Jewellery,138554
432,289,Vehicles,365089
433,284,Vehicles,225086
434,575,Documents,292902
435,440,Jewellery,220516
436,918,Vehicles,34864
437,841,Cash,142367
438,450,Cash,39516
439,496,Documents,346342
440,145,Cash,299682
441,132,Cash,490910
442,205,Vehicles,268966
443,243,Documents,29504
444,69,Mobile,212072
445,471,Documents,10816
446,243,Laptop,118055
447,48,Cash,21642
448,464,Laptop,484335
449,242,Laptop,309677
450,22,Mobile,254920
451,641,Documents,491308
452,442,Laptop,42255
453,853,Vehicles,331536
454,983,Cash,154696
455,959,Jewellery,88694
456,500,Laptop,177866
457,546,Documents,182281
458,900,Cash,319001
459,252,Laptop,99666
460,58,Documents,296973
461,431,Vehicles,475791
462,170,Documents,424962
463,707,Jewellery,407423
464,797,Jewellery,469372
465,772,Jewellery,340054
466,134,Laptop,471654
467,346,Jewellery,290556
468,12,Mobile,397296
469,395,Jewellery,99173
470,96,Documents,325408
471,179,Mobile,223689
472,451,Cash,5606
473,226,Vehicles,67993
474,405,Mobile,152196
475,280,Jewellery,273659
476,149,Mobile,274793
477,65,Laptop,176752
478,90,Cash,470364
479,146,Mobile,37158
480,857,Cash,134007
481,680,Jewellery,193501
482,937,Jewellery,20619
483,638,Vehicles,463379
484,748,Documents,57900
485,532,Cash,492397
486,14,Mobile,60567
487,745,Jewellery,233729
488,542,Cash,386354
489,533,Cash,33020
490,500,Cash,471694
491,422,Cash,281486
492,680,Vehicles,316988
493,957,Laptop,344253
494,782,Jewellery,293060
495,326,Laptop,259210
496,54,Documents,404348
497,485,Cash,350448
498,8,Cash,273824
499,264,Cash,138354
500,512,Vehicles,206840
501,914,Laptop,40324
502,97,Documents,446674
503,439,Documents,216926
504,992,Documents,258486
505,786,Documents,72578
506,657,Mobile,237314
507,429,Laptop,240660
508,859,Jewellery,198564
509,50,Mobile,279852
510,630,Laptop,119391
511,664,Laptop,325817
512,692,Laptop,231914
513,140,Jewellery,281495
514,884,Vehicles,126375
515,632,Jewellery,284817
516,989,Jewellery,152839
517,954,Laptop,339257
518,408,Mobile,376119
519,679,Documents,15910
520,578,Jewellery,123216
521,958,Vehicles,149437
522,697,Mobile,76750
523,173,Jewellery,489134
524,521,Jewellery,410194
525,84,Mobile,144334
526,835,Jewellery,388773
527,181,Cash,144349
528,373,Cash,197321
529,249,Mobile,415799
530,41,Documents,37351
531,206,Cash,77875
532,754,Vehicles,47652
533,41,Jewellery,264279
534,832,Documents,499945
535,705,Mobile,174185
536,863,Documents,335639
537,947,Documents,424787
538,893,Documents,421100
539,216,Jewellery,179958
540,613,Jewellery,102449
541,5,Jewellery,393537
542,798,Mobile,238204
543,311,Documents,281396
544,908,Documents,407137
545,690,Jewellery,418826
546,511,Documents,146200
547,181,Vehicles,193117
548,953,Laptop,472334
549,941,Jewellery,462685
550,206,Cash,135896
551,34,Vehicles,378210
552,459,Laptop,265131
553,15,Mobile,438095
554,857,Documents,488054
555,699,Laptop,49418
556,894,Laptop,324832
557,51,Cash,393289
558,244,Vehicles,335604
559,91,Cash,493865
560,796,Documents,78844
561,480,Mobile,200411
562,148,Cash,429911
563,21,Mobile,377964
564,395,Cash,477157
565,654,Documents,316822
566,261,Cash,332485
567,806,Mobile,89111
568,404,Vehicles,240541
569,204,Documents,184674
570,240,Cash,198227
571,71,Mobile,390101
572,482,Jewellery,335140
573,743,Jewellery,438975
574,522,Mobile,441636
575,211,Documents,179864
576,537,Laptop,464713
577,769,Laptop,194733
578,469,Laptop,389164
579,769,Documents,351388
580,537,Jewellery,298339
581,677,Cash,189430
582,700,Documents,221705
583,870,Mobile,97743
584,791,Documents,16485
585,678,Vehicles,263126
586,16,Laptop,343745
587,59,Mobile,166594
588,272,Laptop,400816
589,97,Vehicles,145079
590,409,Mobile,466660
591,376,Documents,408635
592,194,Jewellery,123347
593,320,Jewellery,79659
594,237,Vehicles,361049
595,57,Vehicles,35022
596,423,Cash,462464
597,424,Jewellery,116359
598,678,Cash,442958
599,29,Documents,493758
600,260,Mobile,93022
