CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
49,ACT4,SEC436,1,1
49,ACT1,SEC32,2,2
49,ACT3,SEC368,3,3
50,ACT5,SEC236,1,1
51,ACT4,SEC208,1,1
51,ACT3,SEC51,2,2
51,ACT3,SEC463,3,3
52,ACT5,SEC400,1,1
52,ACT2,SEC71,2,2
52,ACT5,SEC361,3,3
53,ACT2,SEC137,1,1
53,ACT1,SEC28,2,2
53,ACT1,SEC78,3,3
54,ACT2,SEC308,1,1
54,ACT3,SEC376,2,2
55,ACT5,SEC142,1,1
55,ACT2,SEC473,2,2
55,ACT4,SEC411,3,3
56,ACT4,SEC38,1,1
57,ACT2,SEC343,1,1
58,ACT1,SEC153,1,1
58,ACT5,SEC102,2,2
59,ACT5,SEC357,1,1
59,ACT1,SEC285,2,2
59,ACT3,SEC60,3,3
60,ACT5,SEC447,1,1
60,ACT3,SEC455,2,2
60,ACT2,SEC334,3,3
61,ACT2,SEC161,1,1
61,ACT2,SEC26,2,2
61,ACT5,SEC382,3,3
62,ACT5,SEC176,1,1
62,ACT1,SEC290,2,2
63,ACT2,SEC486,1,1
63,ACT4,SEC256,2,2
64,ACT4,SEC154,1,1
65,ACT2,SEC327,1,1
66,ACT4,SEC434,1,1
66,ACT4,SEC80,2,2
66,ACT2,SEC425,3,3
67,ACT4,SEC294,1,1
67,ACT4,SEC78,2,2
67,ACT4,SEC92,3,3
68,ACT3,SEC105,1,1
69,ACT5,SEC102,1,1
69,ACT5,SEC391,2,2
69,ACT2,SEC129,3,3
70,ACT3,SEC237,1,1
71,ACT5,SEC168,1,1
72,ACT3,SEC238,1,1
72,ACT3,SEC130,2,2
73,ACT3,SEC169,1,1
73,ACT2,SEC285,2,2
74,ACT1,SEC210,1,1
75,ACT1,SEC390,1,1
75,ACT5,SEC255,2,2
76,ACT5,SEC480,1,1
76,ACT4,SEC233,2,2
77,ACT5,SEC136,1,1
77,ACT3,SEC463,2,2
78,ACT3,SEC248,1,1
78,ACT5,SEC45,2,2
79,ACT3,SEC199,1,1
79,ACT5,SEC398,2,2
79,ACT3,SEC496,3,3
80,ACT5,SEC12,1,1
80,ACT1,SEC357,2,2
81,ACT4,SEC334,1,1
82,ACT2,SEC305,1,1
82,ACT5,SEC282,2,2
82,ACT1,SEC401,3,3
83,ACT1,SEC329,1,1
83,ACT1,SEC270,2,2
83,ACT4,SEC484,3,3
84,ACT3,SEC493,1,1
85,ACT4,SEC228,1,1
86,ACT5,SEC65,1,1
86,ACT3,SEC491,2,2
87,ACT4,SEC254,1,1
88,ACT5,SEC7,1,1
88,ACT5,SEC425,2,2
89,ACT5,SEC241,1,1
89,ACT2,SEC154,2,2
90,ACT1,SEC453,1,1
91,ACT5,SEC258,1,1
91,ACT2,SEC30,2,2
92,ACT1,SEC399,1,1
92,ACT1,SEC369,2,2
93,ACT1,SEC406,1,1
94,ACT1,SEC217,1,1
94,ACT4,SEC118,2,2
94,ACT1,SEC364,3,3
95,ACT2,SEC477,1,1
95,ACT1,SEC231,2,2
96,ACT3,SEC24,1,1
96,ACT1,SEC200,2,2
97,ACT2,SEC233,1,1
98,ACT4,SEC435,1,1
98,ACT3,SEC1,2,2
98,ACT4,SEC494,3,3
99,ACT5,SEC29,1,1
99,ACT1,SEC226,2,2
99,ACT3,SEC339,3,3
100,ACT1,SEC404,1,1
101,ACT3,SEC359,1,1
101,ACT4,SEC56,2,2
102,ACT3,SEC201,1,1
102,ACT4,SEC133,2,2
102,ACT2,SEC360,3,3
103,ACT3,SEC302,1,1
103,ACT5,SEC414,2,2
103,ACT4,SEC238,3,3
104,ACT1,SEC436,1,1
105,ACT4,SEC314,1,1
105,ACT2,SEC13,2,2
105,ACT4,SEC490,3,3
106,ACT2,SEC392,1,1
106,ACT4,SEC174,2,2
106,ACT1,SEC269,3,3
107,ACT5,SEC388,1,1
107,ACT5,SEC141,2,2
108,ACT4,SEC12,1,1
109,ACT2,SEC380,1,1
109,ACT4,SEC69,2,2
109,ACT3,SEC360,3,3
110,ACT2,SEC49,1,1
110,ACT3,SEC1,2,2
110,ACT1,SEC148,3,3
111,ACT5,SEC115,1,1
112,ACT5,SEC124,1,1
112,ACT1,SEC158,2,2
113,ACT5,SEC32,1,1
113,ACT4,SEC202,2,2
113,ACT3,SEC378,3,3
114,ACT5,SEC135,1,1
114,ACT1,SEC234,2,2
114,ACT4,SEC82,3,3
115,ACT3,SEC360,1,1
116,ACT1,SEC182,1,1
117,ACT5,SEC452,1,1
117,ACT4,SEC45,2,2
117,ACT1,SEC201,3,3
118,ACT4,SEC453,1,1
118,ACT2,SEC487,2,2
119,ACT4,SEC373,1,1
120,ACT2,SEC260,1,1
120,ACT2,SEC399,2,2
120,ACT4,SEC219,3,3
121,ACT3,SEC404,1,1
122,ACT2,SEC2,1,1
122,ACT2,SEC148,2,2
123,ACT2,SEC68,1,1
123,ACT4,SEC119,2,2
123,ACT3,SEC125,3,3
124,ACT4,SEC431,1,1
124,ACT4,SEC24,2,2
125,ACT1,SEC415,1,1
125,ACT5,SEC204,2,2
125,ACT3,SEC437,3,3
126,ACT4,SEC439,1,1
127,ACT3,SEC379,1,1
127,ACT5,SEC296,2,2
127,ACT3,SEC241,3,3
128,ACT1,SEC421,1,1
129,ACT3,SEC24,1,1
130,ACT4,SEC422,1,1
130,ACT3,SEC167,2,2
130,ACT5,SEC398,3,3
131,ACT5,SEC443,1,1
132,ACT5,SEC206,1,1
132,ACT4,SEC386,2,2
133,ACT4,SEC297,1,1
133,ACT5,SEC21,2,2
134,ACT5,SEC444,1,1
135,ACT2,SEC143,1,1
135,ACT2,SEC334,2,2
135,ACT4,SEC215,3,3
136,ACT1,SEC254,1,1
136,ACT5,SEC122,2,2
136,ACT5,SEC442,3,3
137,ACT2,SEC314,1,1
137,ACT1,SEC474,2,2
138,ACT3,SEC83,1,1
139,ACT4,SEC18,1,1
140,ACT5,SEC69,1,1
141,ACT2,SEC293,1,1
141,ACT4,SEC56,2,2
142,ACT3,SEC327,1,1
143,ACT1,SEC369,1,1
143,ACT5,SEC295,2,2
143,ACT2,SEC309,3,3
144,ACT1,SEC357,1,1
144,ACT1,SEC75,2,2
145,ACT2,SEC169,1,1
145,ACT4,SEC361,2,2
146,ACT3,SEC141,1,1
146,ACT4,SEC485,2,2
146,ACT5,SEC10,3,3
147,ACT2,SEC98,1,1
148,ACT2,SEC401,1,1
148,ACT3,SEC266,2,2
148,ACT5,SEC57,3,3
149,ACT1,SEC493,1,1
150,ACT3,SEC247,1,1
150,ACT3,SEC498,2,2
151,ACT1,SEC110,1,1
152,ACT2,SEC140,1,1
152,ACT5,SEC19,2,2
153,ACT1,SEC8,1,1
153,ACT2,SEC47,2,2
154,ACT3,SEC343,1,1
154,ACT5,SEC348,2,2
154,ACT3,SEC203,3,3
155,ACT5,SEC42,1,1
156,ACT5,SEC275,1,1
157,ACT5,SEC152,1,1
157,ACT3,SEC195,2,2
157,ACT1,SEC141,3,3
158,ACT3,SEC315,1,1
158,ACT1,SEC200,2,2
158,ACT5,SEC17,3,3
159,ACT4,SEC236,1,1
159,ACT2,SEC314,2,2
160,ACT5,SEC456,1,1
161,ACT5,SEC32,1,1
161,ACT4,SEC119,2,2
161,ACT1,SEC328,3,3
162,ACT2,SEC260,1,1
162,ACT2,SEC471,2,2
163,ACT1,SEC96,1,1
164,ACT3,SEC421,1,1
164,ACT1,SEC225,2,2
165,ACT1,SEC433,1,1
165,ACT2,SEC93,2,2
166,ACT1,SEC334,1,1
166,ACT1,SEC38,2,2
167,ACT2,SEC70,1,1
168,ACT1,SEC314,1,1
168,ACT2,SEC289,2,2
168,ACT2,SEC101,3,3
169,ACT2,SEC471,1,1
169,ACT5,SEC172,2,2
170,ACT1,SEC152,1,1
171,ACT4,SEC199,1,1
172,ACT4,SEC89,1,1
172,ACT5,SEC168,2,2
173,ACT3,SEC476,1,1
174,ACT5,SEC439,1,1
175,ACT2,SEC475,1,1
176,ACT2,SEC202,1,1
176,ACT1,SEC142,2,2
177,ACT4,SEC67,1,1
178,ACT1,SEC441,1,1
178,ACT3,SEC161,2,2
179,ACT3,SEC84,1,1
179,ACT1,SEC452,2,2
179,ACT1,SEC334,3,3
180,ACT3,SEC489,1,1
180,ACT1,SEC347,2,2
181,ACT5,SEC450,1,1
182,ACT5,SEC92,1,1
182,ACT2,SEC221,2,2
183,ACT4,SEC426,1,1
183,ACT5,SEC433,2,2
183,ACT3,SEC479,3,3
184,ACT5,SEC336,1,1
185,ACT5,SEC223,1,1
185,ACT1,SEC235,2,2
185,ACT2,SEC290,3,3
186,ACT5,SEC335,1,1
186,ACT2,SEC47,2,2
187,ACT2,SEC124,1,1
188,ACT3,SEC186,1,1
188,ACT1,SEC333,2,2
189,ACT2,SEC361,1,1
189,ACT1,SEC447,2,2
189,ACT5,SEC237,3,3
190,ACT4,SEC260,1,1
190,ACT2,SEC252,2,2
191,ACT3,SEC256,1,1
191,ACT5,SEC277,2,2
191,ACT4,SEC325,3,3
192,ACT2,SEC370,1,1
192,ACT5,SEC60,2,2
193,ACT5,SEC394,1,1
193,ACT1,SEC262,2,2
193,ACT5,SEC296,3,3
194,ACT3,SEC192,1,1
194,ACT5,SEC186,2,2
194,ACT2,SEC187,3,3
195,ACT3,SEC348,1,1
195,ACT5,SEC192,2,2
196,ACT2,SEC66,1,1
196,ACT4,SEC470,2,2
197,ACT5,SEC47,1,1
197,ACT1,SEC61,2,2
198,ACT3,SEC247,1,1
199,ACT4,SEC146,1,1
199,ACT4,SEC237,2,2
200,ACT5,SEC302,1,1
200,ACT2,SEC295,2,2
200,ACT1,SEC202,3,3
201,ACT5,SEC168,1,1
201,ACT5,SEC403,2,2
202,ACT2,SEC75,1,1
202,ACT2,SEC354,2,2
202,ACT4,SEC347,3,3
203,ACT2,SEC360,1,1
203,ACT1,SEC7,2,2
204,ACT4,SEC159,1,1
204,ACT2,SEC190,2,2
204,ACT3,SEC315,3,3
205,ACT1,SEC301,1,1
205,ACT3,SEC346,2,2
206,ACT5,SEC402,1,1
207,ACT4,SEC440,1,1
207,ACT3,SEC123,2,2
208,ACT5,SEC470,1,1
208,ACT2,SEC392,2,2
209,ACT3,SEC350,1,1
210,ACT2,SEC248,1,1
210,ACT4,SEC271,2,2
210,ACT4,SEC15,3,3
211,ACT4,SEC376,1,1
211,ACT2,SEC363,2,2
211,ACT3,SEC308,3,3
212,ACT2,SEC84,1,1
212,ACT1,SEC257,2,2
213,ACT2,SEC396,1,1
214,ACT1,SEC431,1,1
214,ACT5,SEC69,2,2
214,ACT2,SEC462,3,3
215,ACT4,SEC179,1,1
215,ACT2,SEC204,2,2
216,ACT1,SEC328,1,1
217,ACT4,SEC154,1,1
218,ACT5,SEC79,1,1
218,ACT2,SEC236,2,2
219,ACT1,SEC353,1,1
219,ACT5,SEC327,2,2
219,ACT5,SEC476,3,3
220,ACT3,SEC242,1,1
220,ACT3,SEC163,2,2
221,ACT1,SEC98,1,1
222,ACT1,SEC453,1,1
222,ACT4,SEC387,2,2
223,ACT3,SEC452,1,1
224,ACT5,SEC36,1,1
225,ACT5,SEC3,1,1
225,ACT4,SEC114,2,2
225,ACT1,SEC422,3,3
226,ACT3,SEC19,1,1
226,ACT4,SEC290,2,2
226,ACT2,SEC219,3,3
227,ACT5,SEC493,1,1
228,ACT2,SEC224,1,1
228,ACT5,SEC42,2,2
228,ACT1,SEC213,3,3
229,ACT5,SEC198,1,1
229,ACT5,SEC441,2,2
229,ACT4,SEC96,3,3
230,ACT2,SEC368,1,1
230,ACT1,SEC95,2,2
231,ACT1,SEC436,1,1
231,ACT3,SEC229,2,2
231,ACT5,SEC403,3,3
232,ACT4,SEC164,1,1
232,ACT3,SEC96,2,2
232,ACT5,SEC341,3,3
233,ACT4,SEC282,1,1
233,ACT5,SEC96,2,2
233,ACT5,SEC228,3,3
234,ACT1,SEC75,1,1
235,ACT4,SEC92,1,1
235,ACT5,SEC217,2,2
236,ACT2,SEC196,1,1
236,ACT5,SEC92,2,2
236,ACT1,SEC446,3,3
237,ACT1,SEC470,1,1
237,ACT1,SEC317,2,2
238,ACT4,SEC60,1,1
239,ACT4,SEC447,1,1
239,ACT2,SEC116,2,2
240,ACT3,SEC138,1,1
240,ACT5,SEC395,2,2
240,ACT1,SEC113,3,3
241,ACT1,SEC226,1,1
241,ACT3,SEC51,2,2
242,ACT5,SEC317,1,1
242,ACT5,SEC418,2,2
243,ACT5,SEC382,1,1
243,ACT1,SEC154,2,2
243,ACT4,SEC119,3,3
244,ACT5,SEC89,1,1
244,ACT1,SEC197,2,2
244,ACT5,SEC249,3,3
245,ACT3,SEC438,1,1
246,ACT4,SEC313,1,1
247,ACT1,SEC19,1,1
247,ACT5,SEC101,2,2
248,ACT4,SEC259,1,1
249,ACT2,SEC451,1,1
249,ACT3,SEC148,2,2
250,ACT2,SEC262,1,1
250,ACT4,SEC234,2,2
250,ACT4,SEC67,3,3
251,ACT5,SEC424,1,1
251,ACT4,SEC112,2,2
251,ACT2,SEC234,3,3
252,ACT3,SEC314,1,1
252,ACT1,SEC160,2,2
253,ACT3,SEC21,1,1
253,ACT1,SEC49,2,2
254,ACT1,SEC415,1,1
254,ACT5,SEC355,2,2
255,ACT1,SEC337,1,1
255,ACT2,SEC12,2,2
256,ACT2,SEC248,1,1
256,ACT4,SEC253,2,2
257,ACT1,SEC269,1,1
257,ACT4,SEC417,2,2
258,ACT4,SEC7,1,1
258,ACT1,SEC495,2,2
259,ACT2,SEC484,1,1
260,ACT2,SEC55,1,1
260,ACT5,SEC403,2,2
260,ACT5,SEC314,3,3
261,ACT1,SEC52,1,1
261,ACT2,SEC314,2,2
261,ACT2,SEC322,3,3
262,ACT4,SEC37,1,1
262,ACT5,SEC461,2,2
262,ACT2,SEC123,3,3
263,ACT3,SEC274,1,1
263,ACT1,SEC428,2,2
263,ACT5,SEC360,3,3
264,ACT1,SEC217,1,1
264,ACT5,SEC343,2,2
264,ACT5,SEC269,3,3
265,ACT2,SEC131,1,1
266,ACT1,SEC112,1,1
266,ACT1,SEC440,2,2
266,ACT1,SEC18,3,3
267,ACT1,SEC402,1,1
268,ACT5,SEC391,1,1
268,ACT2,SEC102,2,2
269,ACT3,SEC359,1,1
269,ACT3,SEC20,2,2
270,ACT4,SEC59,1,1
271,ACT1,SEC296,1,1
271,ACT5,SEC475,2,2
272,ACT3,SEC82,1,1
273,ACT2,SEC84,1,1
274,ACT2,SEC172,1,1
275,ACT3,SEC193,1,1
276,ACT4,SEC375,1,1
277,ACT1,SEC245,1,1
278,ACT4,SEC342,1,1
278,ACT2,SEC465,2,2
279,ACT2,SEC101,1,1
279,ACT4,SEC376,2,2
280,ACT5,SEC214,1,1
280,ACT5,SEC500,2,2
281,ACT1,SEC80,1,1
281,ACT4,SEC349,2,2
282,ACT3,SEC111,1,1
282,ACT3,SEC489,2,2
283,ACT5,SEC486,1,1
283,ACT1,SEC35,2,2
284,ACT4,SEC174,1,1
284,ACT1,SEC204,2,2
284,ACT4,SEC29,3,3
285,ACT1,SEC393,1,1
285,ACT2,SEC160,2,2
285,ACT4,SEC164,3,3
286,ACT1,SEC72,1,1
286,ACT5,SEC294,2,2
286,ACT4,SEC265,3,3
287,ACT2,SEC233,1,1
288,ACT5,SEC132,1,1
288,ACT5,SEC245,2,2
288,ACT1,SEC428,3,3
289,ACT1,SEC145,1,1
289,ACT5,SEC418,2,2
289,ACT5,SEC172,3,3
290,ACT4,SEC294,1,1
291,ACT2,SEC79,1,1
291,ACT3,SEC99,2,2
292,ACT3,SEC340,1,1
293,ACT3,SEC24,1,1
293,ACT2,SEC150,2,2
294,ACT5,SEC210,1,1
294,ACT2,SEC374,2,2
295,ACT5,SEC465,1,1
296,ACT4,SEC131,1,1
297,ACT3,SEC118,1,1
297,ACT2,SEC254,2,2
297,ACT5,SEC499,3,3
298,ACT1,SEC414,1,1
298,ACT4,SEC343,2,2
299,ACT2,SEC339,1,1
299,ACT2,SEC274,2,2
299,ACT4,SEC246,3,3
300,ACT5,SEC353,1,1
300,ACT3,SEC18,2,2
301,ACT2,SEC49,1,1
301,ACT4,SEC263,2,2
301,ACT2,SEC187,3,3
302,ACT2,SEC117,1,1
302,ACT1,SEC383,2,2
303,ACT4,SEC272,1,1
304,ACT4,SEC63,1,1
304,ACT2,SEC114,2,2
305,ACT1,SEC132,1,1
306,ACT3,SEC204,1,1
307,ACT5,SEC358,1,1
307,ACT2,SEC146,2,2
308,ACT4,SEC87,1,1
308,ACT4,SEC71,2,2
308,ACT2,SEC183,3,3
309,ACT3,SEC418,1,1
309,ACT5,SEC161,2,2
309,ACT2,SEC401,3,3
310,ACT4,SEC274,1,1
310,ACT1,SEC348,2,2
311,ACT5,SEC470,1,1
312,ACT1,SEC126,1,1
312,ACT2,SEC330,2,2
312,ACT3,SEC173,3,3
313,ACT4,SEC72,1,1
313,ACT3,SEC65,2,2
313,ACT1,SEC307,3,3
314,ACT5,SEC428,1,1
315,ACT3,SEC33,1,1
315,ACT1,SEC36,2,2
316,ACT5,SEC65,1,1
316,ACT2,SEC397,2,2
316,ACT5,SEC85,3,3
317,ACT2,SEC167,1,1
317,ACT1,SEC234,2,2
318,ACT1,SEC195,1,1
319,ACT4,SEC206,1,1
319,ACT1,SEC158,2,2
319,ACT5,SEC300,3,3
320,ACT1,SEC127,1,1
320,ACT2,SEC492,2,2
321,ACT1,SEC148,1,1
321,ACT1,SEC451,2,2
322,ACT1,SEC390,1,1
322,ACT2,SEC391,2,2
323,ACT1,SEC429,1,1
323,ACT5,SEC500,2,2
323,ACT4,SEC310,3,3
324,ACT4,SEC63,1,1
325,ACT4,SEC2,1,1
325,ACT2,SEC99,2,2
326,ACT2,SEC353,1,1
326,ACT1,SEC413,2,2
326,ACT5,SEC5,3,3
327,ACT3,SEC271,1,1
327,ACT2,SEC124,2,2
328,ACT5,SEC312,1,1
328,ACT4,SEC13,2,2
328,ACT2,SEC452,3,3
329,ACT2,SEC287,1,1
330,ACT2,SEC112,1,1
331,ACT1,SEC252,1,1
331,ACT4,SEC443,2,2
331,ACT3,SEC479,3,3
332,ACT5,SEC207,1,1
333,ACT2,SEC17,1,1
333,ACT4,SEC331,2,2
334,ACT4,SEC415,1,1
334,ACT4,SEC50,2,2
335,ACT3,SEC297,1,1
335,ACT5,SEC359,2,2
336,ACT4,SEC34,1,1
336,ACT1,SEC227,2,2
336,ACT4,SEC160,3,3
337,ACT4,SEC133,1,1
338,ACT3,SEC225,1,1
339,ACT3,SEC185,1,1
339,ACT4,SEC490,2,2
340,ACT4,SEC246,1,1
340,ACT4,SEC444,2,2
340,ACT4,SEC141,3,3
341,ACT3,SEC245,1,1
342,ACT5,SEC453,1,1
342,ACT2,SEC118,2,2
343,ACT3,SEC162,1,1
344,ACT4,SEC429,1,1
344,ACT3,SEC178,2,2
344,ACT3,SEC307,3,3
345,ACT2,SEC39,1,1
345,ACT5,SEC115,2,2
346,ACT5,SEC434,1,1
346,ACT1,SEC266,2,2
347,ACT3,SEC210,1,1
348,ACT5,SEC135,1,1
348,ACT4,SEC326,2,2
348,ACT2,SEC422,3,3
349,ACT4,SEC130,1,1
350,ACT2,SEC232,1,1
351,ACT4,SEC222,1,1
351,ACT2,SEC243,2,2
352,ACT1,SEC17,1,1
352,ACT4,SEC357,2,2
352,ACT1,SEC381,3,3
353,ACT1,SEC480,1,1
353,ACT2,SEC323,2,2
353,ACT1,SEC445,3,3
354,ACT4,SEC111,1,1
354,ACT2,SEC478,2,2
355,ACT2,SEC494,1,1
356,ACT4,SEC479,1,1
356,ACT4,SEC172,2,2
356,ACT4,SEC190,3,3
357,ACT1,SEC183,1,1
358,ACT3,SEC104,1,1
358,ACT5,SEC150,2,2
359,ACT1,SEC395,1,1
359,ACT1,SEC83,2,2
360,ACT1,SEC115,1,1
361,ACT3,SEC431,1,1
361,ACT2,SEC341,2,2
362,ACT3,SEC391,1,1
362,ACT2,SEC127,2,2
363,ACT5,SEC116,1,1
363,ACT3,SEC452,2,2
363,ACT1,SEC126,3,3
364,ACT2,SEC11,1,1
365,ACT2,SEC17,1,1
365,ACT4,SEC251,2,2
366,ACT5,SEC215,1,1
366,ACT3,SEC114,2,2
367,ACT4,SEC218,1,1
368,ACT2,SEC222,1,1
369,ACT4,SEC429,1,1
369,ACT4,SEC156,2,2
369,ACT2,SEC240,3,3
370,ACT4,SEC75,1,1
370,ACT1,SEC151,2,2
371,ACT3,SEC276,1,1
371,ACT3,SEC183,2,2
371,ACT2,SEC245,3,3
372,ACT3,SEC111,1,1
373,ACT3,SEC170,1,1
373,ACT4,SEC144,2,2
374,ACT5,SEC97,1,1
374,ACT2,SEC417,2,2
375,ACT3,SEC152,1,1
376,ACT2,SEC202,1,1
376,ACT2,SEC210,2,2
376,ACT3,SEC366,3,3
377,ACT4,SEC27,1,1
378,ACT1,SEC155,1,1
378,ACT2,SEC224,2,2
378,ACT3,SEC497,3,3
379,ACT1,SEC418,1,1
380,ACT2,SEC475,1,1
380,ACT4,SEC144,2,2
381,ACT5,SEC422,1,1
381,ACT5,SEC315,2,2
382,ACT3,SEC174,1,1
383,ACT5,SEC201,1,1
383,ACT1,SEC316,2,2
384,ACT4,SEC281,1,1
385,ACT4,SEC388,1,1
385,ACT3,SEC421,2,2
386,ACT1,SEC50,1,1
386,ACT4,SEC391,2,2
386,ACT2,SEC232,3,3
387,ACT2,SEC169,1,1
388,ACT3,SEC24,1,1
388,ACT5,SEC190,2,2
389,ACT5,SEC226,1,1
390,ACT5,SEC260,1,1
391,ACT3,SEC393,1,1
391,ACT4,SEC354,2,2
391,ACT1,SEC494,3,3
392,ACT2,SEC311,1,1
393,ACT4,SEC282,1,1
393,ACT1,SEC188,2,2
394,ACT1,SEC267,1,1
395,ACT4,SEC131,1,1
396,ACT5,SEC168,1,1
396,ACT1,SEC437,2,2
396,ACT1,SEC62,3,3
397,ACT2,SEC303,1,1
397,ACT3,SEC158,2,2
398,ACT5,SEC245,1,1
399,ACT1,SEC406,1,1
399,ACT1,SEC37,2,2
400,ACT4,SEC385,1,1
401,ACT1,SEC275,1,1
401,ACT3,SEC246,2,2
402,ACT1,SEC404,1,1
402,ACT4,SEC463,2,2
403,ACT1,SEC454,1,1
404,ACT3,SEC398,1,1
404,ACT3,SEC369,2,2
404,ACT4,SEC33,3,3
405,ACT2,SEC379,1,1
405,ACT3,SEC190,2,2
406,ACT1,SEC348,1,1
406,ACT1,SEC177,2,2
406,ACT1,SEC388,3,3
407,ACT4,SEC499,1,1
407,ACT2,SEC42,2,2
407,ACT3,SEC64,3,3
408,ACT3,SEC361,1,1
408,ACT2,SEC47,2,2
408,ACT3,SEC246,3,3
409,ACT4,SEC457,1,1
409,ACT3,SEC329,2,2
410,ACT1,SEC487,1,1
410,ACT1,SEC338,2,2
411,ACT4,SEC101,1,1
411,ACT2,SEC98,2,2
411,ACT4,SEC398,3,3
412,ACT3,SEC442,1,1
412,ACT4,SEC260,2,2
413,ACT2,SEC12,1,1
413,ACT3,SEC110,2,2
413,ACT5,SEC377,3,3
414,ACT2,SEC322,1,1
414,ACT4,SEC246,2,2
414,ACT2,SEC123,3,3
415,ACT1,SEC129,1,1
415,ACT5,SEC219,2,2
416,ACT1,SEC185,1,1
416,ACT5,SEC164,2,2
416,ACT5,SEC436,3,3
417,ACT3,SEC74,1,1
418,ACT4,SEC278,1,1
418,ACT2,SEC62,2,2
419,ACT2,SEC5,1,1
419,ACT4,SEC402,2,2
420,ACT1,SEC55,1,1
420,ACT3,SEC481,2,2
420,ACT3,SEC438,3,3
421,ACT2,SEC367,1,1
422,ACT3,SEC258,1,1
422,ACT2,SEC244,2,2
423,ACT1,SEC500,1,1
424,ACT5,SEC442,1,1
425,ACT1,SEC433,1,1
425,ACT2,SEC35,2,2
426,ACT1,SEC421,1,1
426,ACT2,SEC366,2,2
427,ACT4,SEC411,1,1
427,ACT1,SEC187,2,2
428,ACT5,SEC214,1,1
428,ACT1,SEC432,2,2
429,ACT4,SEC350,1,1
429,ACT4,SEC487,2,2
429,ACT5,SEC224,3,3
430,ACT4,SEC442,1,1
430,ACT3,SEC492,2,2
431,ACT2,SEC434,1,1
431,ACT3,SEC165,2,2
432,ACT2,SEC187,1,1
432,ACT5,SEC14,2,2
432,ACT1,SEC414,3,3
433,ACT4,SEC305,1,1
434,ACT2,SEC365,1,1
435,ACT3,SEC257,1,1
435,ACT4,SEC346,2,2
