CSAccusedID,ChargesheetID,AccusedMasterID
477,495,1078
478,88,27
479,322,281
480,100,727
481,596,673
482,68,1364
483,534,1012
484,332,891
485,240,253
486,587,630
487,265,1143
488,231,199
489,531,673
490,209,231
491,2,800
492,433,1129
493,19,811
494,96,149
495,474,288
496,201,397
497,180,387
498,321,270
499,569,1038
500,509,721
