CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,Village,Taluk
19,CR/1976/1869,CS/2000/9392,2024-07-11,22,26,1,2,4,60,3,7,2024-07-09 05:02:13,2024-07-09 06:02:13,2024-07-11 05:02:13,17.327479054175516,76.83252066121909,Temporibus at neque culpa excepturi totam quo. At rem delectus atque voluptatem ab. Ratione amet saepe aspernatur debitis.,Kengeri,Bailhongal
20,CR/2018/8244,CS/1998/5159,2025-08-24,6,8,3,1,11,13,3,6,2025-08-23 12:30:17,2025-08-23 14:30:17,2025-08-24 16:30:17,13.032082283461158,77.54326957416829,Enim soluta qui tempore repellendus assumenda. Nulla eum totam itaque error. Excepturi sequi culpa consequatur facilis necessitatibus nulla.,Jamkhandi,Chikkodi
21,CR/1993/6736,CS/1992/6688,2025-01-13,32,4,3,1,13,22,4,4,2025-01-12 04:50:35,2025-01-12 06:50:35,2025-01-13 17:50:35,12.971511749607107,77.75131146721283,Minus nisi officiis temporibus suscipit labore porro voluptatibus. Ullam magni optio consectetur placeat reprehenderit.,Hungund,Tumakuru
22,CR/1994/1367,CS/2003/7584,2024-06-20,6,19,2,1,15,39,1,4,2024-06-19 09:40:38,2024-06-19 11:40:38,2024-06-20 00:40:38,12.8572664,74.8435217,Magni ipsam impedit sunt at doloremque. Quidem quasi eveniet neque officiis. Officiis animi assumenda veritatis labore sequi. Ad debitis quae similique ratione commodi.,Kushalnagar,Mandya
23,CR/2014/2220,CS/1992/2273,2024-06-20,7,14,1,3,10,40,2,5,2024-06-18 09:27:29,2024-06-18 13:27:29,2024-06-20 00:27:29,15.832264106935416,74.51752403067877,"Rerum numquam earum ipsam maxime. Voluptatibus laboriosam autem dignissimos reiciendis. Fugiat inventore nemo.
Tempora sequi ex magni alias. Ducimus sequi tempora ab. Sequi non pariatur illum modi.",Yelwala,Karkala
24,CR/1971/7092,CS/2006/5870,2024-12-13,16,5,1,2,9,32,6,8,2024-12-11 17:13:21,2024-12-11 22:13:21,2024-12-13 10:13:21,12.8417129,77.6603358,Porro voluptates eligendi laudantium voluptatum ad. Minima adipisci dolore cum. Aperiam autem ducimus numquam dolorum praesentium.,Afzalpur,Tirthahalli
25,CR/1972/6140,CS/1991/8508,2024-11-25,6,15,2,3,7,50,3,6,2024-11-25 04:16:49,2024-11-25 06:16:49,2024-11-25 20:16:49,15.8214844,74.4949407,Ipsa dolorem sequi dicta incidunt. Tempore quia facere a praesentium possimus. Molestias animi delectus animi consequuntur a.,Basavakalyan,Soraba
26,CR/2002/7769,CS/1992/5062,2024-02-24,38,7,2,3,13,38,2,4,2024-02-23 00:35:56,2024-02-23 04:35:56,2024-02-24 17:35:56,12.9308056,77.5838001,Tenetur vitae voluptas voluptatum. Eaque iste doloribus ratione iusto illo modi. Magni inventore adipisci modi quis. In earum commodi tenetur.,Honnavar,Udupi
27,CR/1995/5263,CS/2000/7308,2025-02-24,40,18,1,1,6,41,3,3,2025-02-23 03:26:15,2025-02-23 04:26:15,2025-02-24 13:26:15,12.86902,74.8424859,"Perferendis et dicta fugiat natus qui commodi. Esse nemo at. Delectus saepe id.
Est numquam pariatur dolor. Ipsam veniam eum nostrum ratione numquam architecto esse.",Virajpet,Mysuru
28,CR/2015/1034,CS/2003/6736,2026-03-23,44,1,1,3,14,12,6,4,2026-03-22 12:17:17,2026-03-22 13:17:17,2026-03-23 06:17:17,12.9768705,77.5952723,Odit amet esse magni culpa quasi. Adipisci at saepe alias. Laborum quo dolore repudiandae accusamus architecto ipsa. Nihil odit rem est neque dicta perspiciatis.,Afzalpur,Hukkeri
29,CR/2000/4045,CS/1973/4149,2026-01-30,2,23,2,1,10,35,2,3,2026-01-30 02:46:47,2026-01-30 05:46:47,2026-01-30 19:46:47,16.212462718104767,77.34701182601756,"Nam eveniet qui blanditiis laudantium ea. Earum sed ut omnis. Molestias quam praesentium quod dolorum animi dolorem.
Velit sunt voluptatem pariatur nemo. Minus iste atque inventore.",Manvi,Raibag
30,CR/1988/6167,CS/1986/3619,2025-08-28,6,27,1,3,12,71,2,3,2025-08-28 09:16:10,2025-08-28 11:16:10,2025-08-28 11:16:10,12.5181907,76.8952911,Officia harum quas animi mollitia deleniti. Eos consequatur sint nesciunt eos hic dolores. Tempora vitae aspernatur amet nam provident ratione explicabo.,Ankola,Koratagere
31,CR/1973/8284,CS/1974/8395,2023-10-30,16,8,1,1,11,27,3,5,2023-10-29 06:17:14,2023-10-29 07:17:14,2023-10-30 04:17:14,13.023528401808678,77.5438550118667,"Nam expedita ullam ex voluptatibus eius quaerat. Quos ipsum iusto placeat.
Sint architecto occaecati iure. Hic earum architecto nam. Eligendi sit nostrum tempora unde quas.",Ankola,Ramdurg
32,CR/2004/7877,CS/1996/6045,2025-03-16,30,23,1,3,5,32,5,7,2025-03-14 10:24:04,2025-03-14 13:24:04,2025-03-16 08:24:04,16.209446244620334,77.34759027838123,"Quidem culpa dolore saepe inventore aperiam.
Autem explicabo dolorum accusantium. Libero quo rerum nobis.
Harum minus tenetur facilis illum. Quisquam voluptas magni eos repellat.",Gangavathi,Ramdurg
33,CR/1981/2035,CS/2022/9409,2023-09-06,50,8,3,1,4,34,5,3,2023-09-05 08:51:54,2023-09-05 13:51:54,2023-09-06 18:51:54,13.026392458826917,77.54246409204093,"Excepturi praesentium beatae error reiciendis sapiente. Accusantium ullam nihil ad minus. Ab quibusdam voluptatum id.
Id at consequatur excepturi. Sunt doloremque laboriosam quisquam doloribus.",Virajpet,Doddaballapura
34,CR/2002/7091,CS/2014/4523,2023-07-31,18,11,3,1,5,75,3,4,2023-07-30 09:56:14,2023-07-30 12:56:14,2023-07-31 16:56:14,12.976790401410629,77.59150848415521,Adipisci ullam accusantium magnam autem consectetur. Consequuntur tempore non distinctio. Error sunt autem consectetur voluptatibus ipsa earum voluptatum.,Kengeri,Koratagere
35,CR/2022/9765,CS/1978/6265,2026-04-03,11,8,3,3,3,8,1,9,2026-04-03 07:35:25,2026-04-03 11:35:25,2026-04-03 11:35:25,13.029325777115643,77.53598184476151,"Sint quisquam vel quia. Aliquam a harum iste tenetur.
Non soluta autem dignissimos. Tenetur cupiditate architecto sapiente nulla.",Somwarpet,Mysuru
36,CR/1973/9608,CS/2022/5197,2024-05-09,41,22,2,3,15,24,4,4,2024-05-08 11:46:13,2024-05-08 13:46:13,2024-05-09 19:46:13,13.9341216,75.5693461,Non beatae fuga inventore. Necessitatibus reiciendis temporibus dolorum eligendi cumque itaque. Accusamus provident suscipit.,Manvi,Bhadravati
37,CR/2002/1638,CS/1979/6347,2023-11-22,40,24,3,3,12,21,1,5,2023-11-22 08:58:02,2023-11-22 09:58:02,2023-11-22 21:58:02,15.135072182305372,76.9229060297159,"Omnis nihil esse facilis dolorum.
Laboriosam numquam quidem accusamus. Natus eligendi deleniti perferendis excepturi aliquid.
Fugiat fugiat laboriosam eius nostrum tempore. Fugit molestiae rem.",Basavakalyan,Athani
38,CR/2000/6510,CS/1982/1469,2026-01-19,45,20,2,2,14,67,5,8,2026-01-17 15:20:02,2026-01-17 19:20:02,2026-01-19 15:20:02,13.34479176490643,74.7410444869305,"Cum blanditiis quod voluptate ad sint quasi. Odio laboriosam quod necessitatibus unde quas. A unde accusantium error vitae.
Perspiciatis pariatur hic nostrum.",Manvi,Bailhongal
39,CR/1974/1896,CS/1994/3712,2025-06-10,43,20,1,2,4,70,3,5,2025-06-09 03:24:39,2025-06-09 04:24:39,2025-06-10 02:24:39,13.34335389793584,74.73787695451517,"Veniam fuga veniam enim sint. Ipsum occaecati rem sequi mollitia ipsum dolorem corrupti.
Asperiores minus commodi repellendus doloribus occaecati nemo. Aliquam laboriosam at vero sed fugiat.",Kumbalagodu,Mysuru
40,CR/2009/1300,CS/1976/3477,2026-06-21,18,4,3,1,15,3,2,7,2026-06-20 11:33:01,2026-06-20 13:33:01,2026-06-21 00:33:01,12.97428834560389,77.74734226028592,"Explicabo ipsa iure nulla laborum porro repellendus. Alias laborum tempora.
Voluptates aspernatur modi culpa adipisci maxime officiis. Praesentium repudiandae molestias molestiae nulla suscipit.",Yelandur,Nelamangala
41,CR/2014/7114,CS/1983/7410,2026-06-11,6,13,1,3,9,13,2,8,2026-06-10 02:03:59,2026-06-10 05:03:59,2026-06-11 14:03:59,12.320801455783062,76.65636526870428,Quae corporis perferendis ipsa. Quis iusto id voluptatem placeat molestias natus.,Haliyal,Sira
42,CR/1977/5978,CS/1985/8303,2025-04-22,21,9,2,3,9,18,6,8,2025-04-20 20:03:05,2025-04-21 00:03:05,2025-04-22 10:03:05,12.9298263,77.5432434,"Occaecati soluta labore aut. Aliquam quam sunt doloremque. Incidunt atque eligendi laborum natus rerum.
Debitis quos doloremque neque molestias ut officiis. Ut quo et nostrum ducimus.",Kengeri,Karkala
43,CR/2013/4591,CS/1983/4650,2023-12-06,49,2,3,1,7,33,5,1,2023-12-05 07:28:45,2023-12-05 11:28:45,2023-12-06 02:28:45,12.9718207,77.6071666,"Totam vel tempora alias. Maxime cumque distinctio aut.
Quam hic inventore aliquid quos iusto maxime dolores. Suscipit nisi optio dolores.",Sindhanur,KR Nagar
44,CR/1991/5175,CS/2016/4393,2025-04-04,23,27,3,1,11,38,2,7,2025-04-04 04:18:43,2025-04-04 06:18:43,2025-04-04 07:18:43,12.5162806,76.8910755,Impedit eius labore totam unde saepe perspiciatis nobis. Esse consequatur labore eos doloribus maxime.,Yelwala,Tiptur
45,CR/1970/9233,CS/1987/6735,2026-06-24,4,9,2,2,1,67,1,7,2026-06-24 00:10:13,2026-06-24 04:10:13,2026-06-24 09:10:13,12.9246698,77.5476877,Quaerat voluptatem porro provident aperiam reprehenderit error quo. Delectus neque autem vero magni nemo quisquam.,Hungund,Pandavapura
46,CR/2005/1721,CS/2003/6486,2025-04-07,13,6,1,3,8,67,1,8,2025-04-07 01:34:42,2025-04-07 05:34:42,2025-04-07 21:34:42,13.034716,77.5932974,"A adipisci quis magni. Esse nobis quam adipisci laboriosam. Ea veritatis officiis repellat explicabo voluptate.
Dolores voluptates necessitatibus occaecati vel. Non ipsam aliquam nemo temporibus.",Virajpet,Doddaballapura
47,CR/1985/9490,CS/1996/1421,2024-01-06,4,17,3,1,9,43,4,5,2024-01-05 12:31:49,2024-01-05 17:31:49,2024-01-06 21:31:49,15.4612291,75.0074295,"Cumque id veniam ea harum. Eum ratione consectetur iusto illum eaque velit non. Deleniti ipsum maiores ea neque.
Doloribus molestiae eius blanditiis quod.",Mudhol,Kunigal
48,CR/1991/4731,CS/1978/7101,2026-06-18,50,11,2,3,2,36,1,7,2026-06-18 05:30:27,2026-06-18 10:30:27,2026-06-18 17:30:27,12.976314875836916,77.58740674613036,Fugiat autem voluptatem accusamus esse numquam aperiam. Aperiam sit nostrum quo nisi dolore eius.,Kengeri,Gokak
49,CR/1996/8225,CS/1987/2386,2024-02-03,32,25,2,3,10,39,6,6,2024-02-02 17:30:51,2024-02-02 18:30:51,2024-02-03 10:30:51,17.9089849,77.512259,"Inventore tempora quibusdam veritatis maiores. Libero corporis facilis veritatis mollitia.
Nobis ipsum est accusantium at necessitatibus.",Harohalli,KR Nagar
50,CR/2004/2684,CS/1981/2382,2023-12-23,36,22,2,1,10,51,2,2,2023-12-22 10:40:04,2023-12-22 12:40:04,2023-12-23 00:40:04,13.9267823,75.5697063,Voluptates vitae quasi ut. Facilis error voluptatem ex iure omnis. Illo inventore minima facilis impedit molestias dolorum porro.,Kumta,Maddur
51,CR/1990/8902,CS/2019/9869,2025-12-17,50,2,1,3,15,55,1,6,2025-12-16 03:39:30,2025-12-16 05:39:30,2025-12-17 01:39:30,12.9733406,77.6102121,"Consequuntur enim laborum laboriosam neque distinctio labore tempora. Libero officiis dolor est.
Adipisci ipsum fugiat recusandae provident quasi. Cum adipisci tempora ullam ipsam dicta fuga.",Jamkhandi,Athani
52,CR/2018/5376,CS/1994/7856,2024-03-23,12,4,1,1,10,50,5,1,2024-03-22 19:57:11,2024-03-22 21:57:11,2024-03-23 04:57:11,12.967300184084811,77.74821268094148,"Temporibus ipsum omnis amet.
Rem omnis harum doloribus incidunt fuga. Voluptas laudantium ducimus neque hic eos tempore dolores. Necessitatibus id odit eligendi consequuntur.",Gangavathi,Bailhongal
53,CR/1988/2643,CS/1987/5761,2025-02-24,9,27,3,1,6,37,4,1,2025-02-24 14:55:25,2025-02-24 16:55:25,2025-02-24 15:55:25,12.5242225,76.8943563,Fugit impedit quo enim tenetur dolor. Odit quasi odio quae delectus voluptate. Consequatur nobis assumenda eum molestiae accusamus minima voluptatem.,Kudupu,Moodabidri
54,CR/1983/1777,CS/2013/6928,2026-04-09,20,16,1,3,2,54,5,8,2026-04-08 23:17:16,2026-04-09 04:17:16,2026-04-09 03:17:16,15.366916533402826,75.12622501464105,Voluptatem laboriosam voluptatum reiciendis necessitatibus. Fugiat nobis iure quidem eaque. Voluptatem ex architecto voluptatem provident. Sint atque maiores officiis.,Mudhol,Soraba
55,CR/2010/2222,CS/1989/8403,2026-05-16,12,9,1,1,9,48,5,7,2026-05-14 22:55:20,2026-05-15 03:55:20,2026-05-16 12:55:20,12.9225796,77.5432121,Occaecati eveniet reiciendis accusantium. Praesentium doloremque exercitationem officiis laboriosam accusamus. Ipsam nihil quasi aliquid nemo quos inventore voluptatum.,Manvi,Madhugiri
56,CR/2010/3279,CS/1977/9312,2025-12-08,1,4,1,3,15,3,1,4,2025-12-07 03:33:27,2025-12-07 06:33:27,2025-12-08 08:33:27,12.9732199956044,77.75131868442588,"Cumque maxime ab. Numquam animi libero veniam.
Neque cum laudantium. Nemo accusamus error officiis atque. Laborum suscipit molestias labore placeat corporis quae quis.",Ankola,Soraba
57,CR/1980/4738,CS/1978/4511,2024-02-04,12,5,1,3,1,31,2,2,2024-02-02 23:08:32,2024-02-03 01:08:32,2024-02-04 16:08:32,12.8423446,77.6596177,A asperiores dignissimos saepe illum. Est commodi deserunt facilis. Vitae voluptatum quaerat commodi quos ipsa et. Sunt optio dolor harum.,Ankola,Kunigal
58,CR/2021/3905,CS/1976/3782,2026-02-16,37,2,2,1,7,18,4,1,2026-02-15 18:08:27,2026-02-15 23:08:27,2026-02-16 08:08:27,12.9747121,77.6054743,"Rem neque nesciunt dicta. Laborum laboriosam sunt quidem.
Praesentium rerum sequi unde. Deserunt nostrum earum eveniet. Tenetur animi ipsum magni veniam.",Mudhol,Udupi
59,CR/1993/1702,CS/2022/3625,2026-04-21,5,10,2,2,14,30,2,7,2026-04-19 18:38:25,2026-04-19 23:38:25,2026-04-21 05:38:25,12.9412684,77.5785329,"Officia excepturi iste et optio ipsa nesciunt. Odio velit molestiae magni illum numquam.
Quisquam sapiente autem neque ullam vel corrupti. At maxime illo ut similique. Itaque dignissimos aperiam.",Kumbalagodu,Maddur
60,CR/1987/7422,CS/1982/9781,2024-02-07,29,5,2,3,12,7,6,3,2024-02-05 23:25:18,2024-02-06 04:25:18,2024-02-07 06:25:18,12.8456166,77.6615967,"Totam nostrum voluptate veritatis repellat officia delectus. Sint blanditiis vitae animi.
Repellendus iste repudiandae reprehenderit adipisci. Quasi porro quam quaerat.",Kushalnagar,Moodabidri
61,CR/1988/9484,CS/2017/2971,2026-04-28,28,4,2,2,13,57,1,8,2026-04-27 03:36:32,2026-04-27 06:36:32,2026-04-28 08:36:32,12.972929222694416,77.74735128644345,"Illum sit minus distinctio accusantium. Quibusdam sit officia illum ad inventore est.
Illum accusantium laudantium quisquam soluta iure incidunt accusantium. Ducimus officia nemo quidem harum.",Bidadi,Hosakote
62,CR/2006/4604,CS/2000/1101,2024-03-16,47,13,3,2,3,28,4,10,2024-03-15 15:16:58,2024-03-15 18:16:58,2024-03-16 16:16:58,12.31891729192083,76.65043470160657,Sit hic temporibus repellat minima. Non illo doloremque iure perspiciatis nulla deserunt.,Kumbalagodu,Tumakuru
63,CR/2018/9090,CS/1980/5855,2025-06-20,19,26,2,2,4,33,4,2,2025-06-19 18:10:08,2025-06-19 20:10:08,2025-06-20 21:10:08,17.327243825893998,76.83724901201754,Et voluptatem molestias quod voluptatum officiis iusto. Suscipit pariatur qui ab recusandae.,Murudeshwar,Nelamangala
64,CR/1994/2555,CS/1997/5446,2023-11-15,33,8,1,2,2,73,4,10,2023-11-13 22:18:06,2023-11-14 02:18:06,2023-11-15 09:18:06,13.029140583882315,77.5408986079821,"Dicta delectus eos libero officia incidunt explicabo. Alias ea cumque.
Consequuntur id accusantium minus ab nostrum. Vitae debitis quod tenetur eveniet quia necessitatibus.",Mudhol,Anekal
65,CR/1983/3483,CS/1978/3698,2023-11-18,7,5,2,3,1,47,4,7,2023-11-16 19:09:01,2023-11-16 21:09:01,2023-11-18 15:09:01,12.8448344,77.6615729,"Nobis recusandae praesentium.
Itaque reiciendis fugit temporibus. Aperiam atque quas dolorum quia reprehenderit officiis. Delectus ea quis exercitationem explicabo adipisci.
Nisi nulla eligendi.",Belur,Hosanagara
66,CR/2025/1964,CS/1989/4297,2024-09-07,49,27,3,3,5,30,6,7,2024-09-07 07:21:36,2024-09-07 12:21:36,2024-09-07 11:21:36,12.5190784,76.8874559,Unde totam illo soluta veritatis animi repellat corrupti.,Virajpet,Hunsur
67,CR/1996/3647,CS/1998/1576,2025-12-13,1,18,1,2,9,36,6,5,2025-12-13 04:32:36,2025-12-13 06:32:36,2025-12-13 19:32:36,12.8726578,74.8474186,"Iure perferendis maiores ipsum. Quisquam alias deleniti.
Suscipit rerum quia suscipit rem. Corrupti sequi laudantium excepturi saepe voluptas neque. Deserunt doloremque soluta assumenda illo.",Halebidu,Pavagada
68,CR/2020/3425,CS/1995/6544,2024-09-21,45,26,3,3,9,28,1,7,2024-09-20 03:49:29,2024-09-20 06:49:29,2024-09-21 07:49:29,17.331219427723905,76.83114779215973,Ut perspiciatis recusandae dolorum et adipisci. Dolorum maiores aperiam illo possimus sequi voluptas esse. Mollitia at commodi dolore culpa vel. Deleniti odio unde veritatis qui in animi.,Haliyal,Sira
69,CR/2020/2596,CS/1998/1799,2023-09-28,35,1,3,3,11,21,2,1,2023-09-26 06:15:31,2023-09-26 11:15:31,2023-09-28 05:15:31,12.9770474,77.5911887,"Quam placeat minus ratione.
Adipisci rerum sed. Dolore accusamus laboriosam optio illum fuga adipisci magni.
Accusantium vero magni iusto. Dignissimos quo numquam odit voluptates veritatis rerum.",Basavakalyan,Karkala
70,CR/2008/3347,CS/1985/8146,2025-10-28,11,8,3,3,14,71,6,3,2025-10-28 00:28:19,2025-10-28 01:28:19,2025-10-28 16:28:19,13.023676085990111,77.53599657077895,Atque voluptas quos natus vitae. Beatae reiciendis reiciendis atque voluptatibus debitis deleniti.,Bidadi,Yelahanka
71,CR/2015/2373,CS/1984/1645,2023-07-15,46,4,1,2,15,46,3,5,2023-07-13 21:55:36,2023-07-14 01:55:36,2023-07-15 18:55:36,12.965965689106438,77.74845798181401,Vel nulla asperiores veniam soluta corporis rem. Commodi consectetur ullam fuga. Doloribus nostrum harum placeat tenetur corrupti.,Kollegal,Hosanagara
72,CR/1977/4789,CS/1984/7746,2026-04-26,12,2,1,2,4,21,4,9,2026-04-25 03:34:41,2026-04-25 07:34:41,2026-04-26 16:34:41,12.9737982,77.6064619,"Ut eum quaerat.
Suscipit veniam voluptate et voluptatibus praesentium voluptates. Maxime sunt amet labore iure occaecati. Sequi ullam nam. Id veniam optio sint nihil.
Esse explicabo sapiente magni.",Ilkal,Sira
73,CR/2025/2008,CS/2006/3164,2024-04-05,31,6,1,3,4,44,5,1,2024-04-05 00:40:16,2024-04-05 05:40:16,2024-04-05 06:40:16,13.0408379,77.5913268,Maiores asperiores a fuga quos et sapiente. Tempore deleniti voluptatibus praesentium delectus. Sint tenetur ullam non et labore soluta.,Sindhanur,Mandya
74,CR/1990/7190,CS/2011/6305,2024-09-07,40,4,3,1,7,54,6,4,2024-09-06 19:32:02,2024-09-06 21:32:02,2024-09-07 06:32:02,12.967430347248865,77.74862087565032,"Commodi sit vel molestiae. At suscipit libero iure omnis. Quis eos a totam aliquid. Minus magni qui atque.
Dolorum natus vitae. Consequatur sequi expedita doloremque sint unde fugiat.",Kumbalagodu,Puttur
75,CR/2020/2857,CS/2019/9782,2026-03-28,42,27,1,2,3,71,5,10,2026-03-26 21:23:35,2026-03-27 01:23:35,2026-03-28 17:23:35,12.5121561,76.898295,"Odio dolorum veritatis quia aliquid. Unde eligendi atque dolor eius.
Sed aperiam laborum occaecati ullam eos. Nemo nam ea veritatis libero tenetur.",Murudeshwar,KR Nagar
76,CR/1993/3236,CS/2025/4278,2024-04-09,46,24,3,3,10,9,3,6,2024-04-08 02:37:44,2024-04-08 06:37:44,2024-04-09 17:37:44,15.136537549177762,76.92318605742639,Ullam molestiae ipsam quas ea accusamus. Quae repellat quis quaerat. Laborum earum distinctio dolorem molestias placeat.,Hungund,Brahmavar
77,CR/1997/1084,CS/2020/1190,2024-11-12,35,7,2,1,9,40,6,7,2024-11-12 02:51:30,2024-11-12 06:51:30,2024-11-12 13:51:30,12.9284389,77.5860579,Aspernatur harum unde eaque nam necessitatibus tempore. Molestiae aliquam odit pariatur vel commodi.,Kumbalagodu,Nanjangud
