ChargesheetID,CaseMasterID,Status,CourtID,Judge,FilingDate
293,497,Filed,5,Hon. Baria,2025-01-12
294,333,Filed,1,Hon. Bawa,2025-12-02
295,515,Pending,9,Hon. Sodhi,2024-09-18
296,976,Pending,8,Hon. Ahluwalia,2025-03-21
297,636,Pending,7,Hon. Bhatnagar,2025-03-02
298,336,Pending,5,Hon. Narayan,2026-06-19
299,155,Pending,6,Hon. Dasgupta,2025-05-08
300,493,Filed,3,Hon. Kothari,2024-12-09
301,242,Filed,2,Hon. Din,2024-10-03
302,100,Filed,3,Hon. Ratta,2024-10-17
303,829,Filed,1,Hon. Sachdev,2026-04-03
304,413,Pending,9,Hon. Ghose,2025-07-13
305,415,Filed,10,Hon. Magar,2025-01-27
306,862,Rejected,9,Hon. Bath,2024-09-25
307,314,Pending,5,Hon. Garde,2024-12-24
308,296,Rejected,5,Hon. Kumar,2025-12-03
309,18,Rejected,8,Hon. Palan,2025-08-03
310,692,Pending,9,Hon. Iyengar,2025-01-01
311,188,Filed,4,Hon. Choudhry,2025-10-22
312,880,Rejected,6,Hon. Varty,2026-01-31
313,389,Pending,6,Hon. Agate,2025-03-06
314,273,Rejected,1,Hon. Mital,2026-06-21
315,489,Rejected,9,Hon. Koshy,2024-11-30
316,981,Filed,6,Hon. Reddy,2025-02-03
317,399,Pending,2,Hon. Borra,2024-10-22
318,192,Filed,10,Hon. Nagy,2025-06-08
319,999,Rejected,7,Hon. Parikh,2024-10-29
320,812,Pending,7,Hon. Chakraborty,2025-02-27
321,263,Filed,7,Hon. Keer,2025-07-08
322,953,Pending,10,Hon. Puri,2026-05-16
323,928,Pending,8,Hon. Ray,2025-04-22
324,570,Rejected,9,Hon. Dada,2025-07-30
325,101,Rejected,9,Hon. Vaidya,2024-11-19
326,145,Pending,8,Hon. Sharma,2024-12-13
327,224,Pending,10,Hon. Srinivas,2025-06-19
328,465,Rejected,7,Hon. Deshpande,2025-01-25
329,79,Rejected,8,Hon. Modi,2025-12-26
330,422,Pending,2,Hon. Mandal,2025-10-29
331,548,Pending,9,Hon. Mitra,2024-10-16
332,672,Pending,1,Hon. Mandal,2025-02-24
333,100,Filed,10,Hon. Sahota,2026-02-19
334,336,Pending,1,Hon. Badal,2026-01-17
335,969,Filed,4,Hon. Batra,2026-05-11
336,991,Filed,7,Hon. Naidu,2025-11-10
337,682,Rejected,8,Hon. Choudhury,2026-03-29
338,249,Filed,7,Hon. Badal,2024-12-07
339,774,Pending,1,Hon. Dua,2024-08-29
340,377,Rejected,2,Hon. Kala,2026-01-16
341,819,Rejected,2,Hon. Chacko,2024-11-01
342,143,Filed,5,Hon. Saran,2024-11-15
343,814,Filed,4,Hon. Bhavsar,2025-11-01
344,367,Rejected,9,Hon. Reddy,2026-06-08
345,274,Rejected,10,Hon. Barad,2024-10-10
346,199,Filed,3,Hon. Dayal,2025-12-10
347,767,Filed,9,Hon. Kari,2025-09-16
348,128,Filed,5,Hon. Devan,2024-10-06
349,776,Rejected,5,Hon. Bhasin,2025-07-06
350,265,Rejected,3,Hon. Ravel,2025-09-07
351,576,Rejected,5,Hon. Vig,2025-10-08
352,827,Filed,10,Hon. Ghose,2024-12-20
353,268,Rejected,4,Hon. Mody,2025-01-04
354,240,Rejected,1,Hon. Char,2026-03-15
355,194,Rejected,10,Hon. Bumb,2024-09-27
356,346,Pending,6,Hon. Jain,2024-09-07
357,555,Filed,9,Hon. Date,2025-08-03
358,759,Pending,1,Hon. Sama,2025-11-08
359,549,Rejected,8,Hon. Ramachandran,2026-02-05
360,219,Rejected,6,Hon. Samra,2024-09-24
361,865,Pending,1,Hon. Kibe,2026-05-24
362,792,Pending,6,Hon. Garg,2025-12-18
363,49,Rejected,2,Hon. Krishnan,2025-01-10
364,535,Pending,7,Hon. Sridhar,2024-12-27
365,733,Pending,7,Hon. Batta,2024-10-15
366,504,Rejected,5,Hon. Johal,2025-06-30
367,588,Filed,9,Hon. Verma,2024-09-29
368,766,Filed,6,Hon. Luthra,2025-08-03
369,871,Filed,3,Hon. Sant,2025-10-18
370,154,Filed,7,Hon. Contractor,2024-12-31
371,459,Rejected,4,Hon. Chander,2025-08-26
372,771,Pending,7,Hon. Sarkar,2025-02-12
373,889,Pending,4,Hon. Baral,2026-06-06
374,526,Rejected,1,Hon. Kant,2025-05-28
375,575,Filed,10,Hon. Palla,2025-10-15
376,73,Pending,7,Hon. Tailor,2024-12-27
377,118,Filed,1,Hon. Apte,2025-02-15
378,171,Filed,5,Hon. Edwin,2024-11-05
379,880,Filed,2,Hon. Prabhu,2026-05-06
380,366,Filed,5,Hon. Chaudhuri,2024-12-09
381,457,Pending,10,Hon. Majumdar,2025-01-15
382,161,Rejected,7,Hon. Khurana,2025-08-30
383,293,Pending,10,Hon. Gade,2026-04-19
384,553,Rejected,7,Hon. Pall,2026-01-11
385,445,Filed,1,Hon. Dara,2025-02-28
386,936,Rejected,9,Hon. Sundaram,2025-03-20
387,897,Pending,1,Hon. Pillay,2025-05-22
388,549,Pending,9,Hon. Patel,2026-01-25
389,578,Filed,6,Hon. Rajan,2025-06-16
390,288,Rejected,7,Hon. Sama,2026-02-28
391,365,Pending,2,Hon. Kadakia,2025-01-10
392,940,Filed,4,Hon. Sahni,2025-05-11
393,724,Filed,10,Hon. Maharaj,2024-12-21
394,446,Rejected,9,Hon. Merchant,2026-02-17
395,453,Pending,6,Hon. Mutti,2026-01-26
396,741,Pending,3,Hon. Krish,2024-07-19
397,66,Pending,10,Hon. Jaggi,2026-04-23
398,522,Filed,4,Hon. Tandon,2025-04-30
399,267,Filed,3,Hon. Samra,2026-06-01
400,550,Filed,5,Hon. Mahajan,2026-05-03
401,92,Pending,4,Hon. Ratta,2025-01-08
402,22,Rejected,4,Hon. Lanka,2025-12-09
403,632,Pending,2,Hon. Kapur,2024-09-07
404,561,Filed,7,Hon. Bedi,2026-04-08
405,419,Rejected,5,Hon. Viswanathan,2024-11-29
406,148,Pending,5,Hon. Setty,2025-08-27
407,577,Pending,3,Hon. Basak,2025-01-03
408,563,Rejected,2,Hon. Agrawal,2024-09-09
409,54,Filed,4,Hon. Kumar,2024-07-15
410,653,Pending,10,Hon. Roy,2025-06-17
411,38,Filed,6,Hon. Kaul,2025-08-14
412,496,Filed,3,Hon. Cherian,2025-09-23
413,1000,Filed,10,Hon. Jani,2025-07-11
414,804,Pending,7,Hon. Dayal,2025-12-02
415,8,Rejected,8,Hon. Sarma,2025-08-14
416,343,Pending,4,Hon. Virk,2024-11-25
417,252,Filed,7,Hon. Anand,2024-11-18
418,299,Pending,2,Hon. Kunda,2024-10-22
419,556,Filed,6,Hon. Mittal,2024-07-16
420,933,Filed,3,Hon. Bhakta,2026-03-22
421,711,Pending,2,Hon. Mutti,2025-05-01
422,175,Rejected,8,Hon. Bedi,2025-05-19
423,963,Filed,1,Hon. Sahni,2026-04-25
424,343,Rejected,4,Hon. Krishna,2026-02-06
425,477,Pending,10,Hon. Salvi,2024-12-16
426,790,Filed,5,Hon. Tandon,2025-08-09
427,540,Rejected,8,Hon. Shere,2026-06-09
428,229,Filed,10,Hon. Anne,2025-12-26
429,410,Filed,7,Hon. Khatri,2025-12-10
430,766,Filed,6,Hon. Tripathi,2026-04-01
431,545,Rejected,1,Hon. Mann,2025-11-18
432,619,Filed,3,Hon. Narain,2024-12-13
433,499,Pending,10,Hon. Hari,2024-08-04
434,218,Pending,5,Hon. Deep,2024-10-24
435,171,Rejected,3,Hon. Krishnamurthy,2025-05-16
436,4,Filed,9,Hon. Gupta,2024-10-24
437,959,Filed,2,Hon. Dani,2025-04-30
438,30,Filed,8,Hon. Divan,2026-02-28
439,781,Rejected,2,Hon. Korpal,2025-10-17
440,166,Rejected,2,Hon. Bhat,2025-01-07
441,96,Filed,7,Hon. Kumar,2026-06-25
442,464,Filed,10,Hon. Dugal,2025-01-07
443,145,Rejected,4,Hon. Banerjee,2025-02-09
444,920,Pending,10,Hon. Raja,2026-02-24
445,547,Rejected,8,Hon. Dutt,2025-08-06
446,794,Pending,2,Hon. Dutta,2025-01-31
447,483,Rejected,7,Hon. Wable,2025-04-25
448,342,Rejected,6,Hon. Bhatnagar,2025-06-23
449,836,Pending,2,Hon. Dash,2025-10-04
450,708,Rejected,9,Hon. Krish,2024-10-04
451,631,Pending,5,Hon. Mall,2026-05-26
452,825,Pending,10,Hon. Chad,2025-12-04
453,946,Filed,5,Hon. Khurana,2024-08-25
454,347,Rejected,8,Hon. Chandra,2025-11-19
455,249,Filed,6,Hon. Baral,2025-12-22
456,918,Filed,2,Hon. Sant,2024-11-13
457,317,Rejected,10,Hon. Tandon,2024-07-09
458,502,Rejected,6,Hon. Varughese,2025-10-05
459,292,Pending,8,Hon. Sarkar,2024-09-02
460,73,Filed,10,Hon. Virk,2024-07-12
461,360,Filed,10,Hon. Gandhi,2025-10-30
462,499,Pending,6,Hon. Zacharia,2025-06-21
463,695,Rejected,3,Hon. Yadav,2024-11-07
464,967,Filed,3,Hon. Rao,2025-09-21
465,757,Filed,7,Hon. Oza,2026-06-13
466,710,Rejected,10,Hon. Choudhary,2026-01-12
467,330,Pending,1,Hon. Mital,2025-04-07
468,743,Filed,4,Hon. Parsa,2024-07-20
469,404,Filed,5,Hon. Ravi,2026-03-31
470,989,Pending,1,Hon. Sagar,2025-06-16
471,765,Filed,2,Hon. Hora,2025-10-16
472,335,Rejected,1,Hon. Sant,2025-03-31
473,533,Filed,2,Hon. Garde,2025-12-17
474,354,Pending,5,Hon. Rajan,2024-07-22
475,623,Rejected,5,Hon. Kunda,2024-09-28
476,704,Filed,1,Hon. Bhalla,2025-06-23
477,600,Rejected,7,Hon. Bhatti,2025-06-27
478,179,Rejected,10,Hon. Sura,2026-06-13
479,151,Pending,9,Hon. Morar,2026-02-07
480,569,Rejected,6,Hon. Bains,2026-03-09
481,641,Filed,6,Hon. Dey,2025-06-06
482,653,Filed,5,Hon. Anand,2025-09-26
483,38,Filed,3,Hon. Wali,2024-11-09
484,839,Filed,5,Hon. Madan,2025-07-02
485,372,Rejected,4,Hon. Dugal,2025-10-11
486,262,Pending,6,Hon. Kala,2025-07-31
487,633,Pending,8,Hon. Kanda,2024-10-31
488,549,Pending,2,Hon. Mitra,2026-05-29
489,948,Pending,2,Hon. Gandhi,2024-10-16
490,822,Pending,7,Hon. Khanna,2025-05-22
491,488,Pending,4,Hon. Gandhi,2024-10-14
492,449,Pending,4,Hon. Aurora,2024-08-08
493,604,Rejected,9,Hon. Char,2025-05-03
494,218,Filed,5,Hon. Upadhyay,2025-04-30
495,500,Filed,9,Hon. Mitra,2026-01-10
496,430,Filed,8,Hon. Krishnan,2026-04-27
497,197,Pending,2,Hon. Thakur,2024-07-17
498,437,Rejected,5,Hon. Gokhale,2024-12-26
499,579,Rejected,10,Hon. Mody,2025-04-04
500,238,Pending,5,Hon. Jani,2024-12-20
501,257,Pending,7,Hon. Dugar,2025-01-26
502,241,Filed,6,Hon. Dey,2026-04-09
503,31,Filed,5,Hon. Bose,2025-12-10
504,444,Rejected,1,Hon. Kari,2024-11-05
505,922,Pending,7,Hon. Ratta,2026-05-11
506,742,Rejected,9,Hon. Mani,2025-12-01
507,662,Rejected,10,Hon. Chad,2025-02-04
508,394,Rejected,3,Hon. Sinha,2025-12-03
509,880,Filed,8,Hon. Bora,2025-08-22
510,978,Filed,2,Hon. Dube,2026-06-23
511,731,Filed,2,Hon. Kumer,2024-08-05
512,364,Pending,7,Hon. Doctor,2024-07-18
513,67,Pending,6,Hon. Parsa,2024-08-17
514,831,Pending,5,Hon. Dugal,2024-08-16
515,793,Pending,4,Hon. Palan,2025-04-28
516,18,Rejected,8,Hon. Kala,2026-01-27
517,901,Pending,2,Hon. Dhillon,2025-05-10
518,540,Rejected,6,Hon. Ramaswamy,2026-07-02
519,160,Rejected,3,Hon. Sethi,2026-05-20
520,834,Rejected,7,Hon. Shenoy,2025-08-16
521,873,Pending,6,Hon. Krish,2025-02-25
522,536,Rejected,9,Hon. Walia,2026-06-11
523,471,Filed,10,Hon. Ben,2025-03-17
524,245,Filed,8,Hon. Keer,2025-09-01
525,440,Rejected,1,Hon. Sethi,2025-09-13
526,111,Rejected,10,Hon. Borra,2025-10-08
527,8,Rejected,2,Hon. Khare,2024-11-03
528,261,Filed,9,Hon. Sami,2024-07-10
529,264,Rejected,4,Hon. Gill,2024-07-24
530,100,Pending,2,Hon. Sarna,2025-05-01
531,508,Rejected,7,Hon. Chacko,2024-09-24
